Company,Location,Role,Salary,StartDate,Status,SubmitDate,Year
VIRTUE GROUP LLC,"ALPHARETTA, GA",DATA SCIENTIST,65500,08/11/2015,CERTIFIED,08/11/2015,2015
PROTECTWISE INC,"DENVER, CO",DATA SCIENTIST,66144,08/26/2015,CERTIFIED,02/27/2015,2015
QCUE INC,"AUSTIN, TX",DATA SCIENTIST,67000,03/13/2015,CERTIFIED,03/12/2015,2015
SANDOKAN SOLUTIONS LLC,"MT LAUREL, NJ",DATA SCIENTIST,68952,09/17/2015,CERTIFIED,03/18/2015,2015
SANDOKAN SOLUTIONS LLC,"MT LAUREL, NJ",DATA SCIENTIST,68952,09/27/2015,CERTIFIED,03/28/2015,2015
WHOOP INC,"BOSTON, MA",DATA SCIENTIST,70000,11/12/2015,CERTIFIED,10/23/2015,2015
GAMELOFT INC,"NEW YORK, NY",DATA SCIENTIST,70000,08/12/2015,CERTIFIED,02/13/2015,2015
PIXALATE INC,"SANTA MONICA, CA",DATA SCIENTIST,70000,09/24/2015,CERTIFIED,03/26/2015,2015
INTUIT INC,"MOUNTAIN VIEW, CA",DATA SCIENTIST,70033,07/30/2015,CERTIFIED,03/05/2015,2015
INTUIT INC,"MOUNTAIN VIEW, CA",DATA SCIENTIST,70033,09/06/2015,CERTIFIED,03/10/2015,2015
AOL INC,"DULLES, VA",DATA SCIENTIST,70096,08/09/2015,CERTIFIED,02/12/2015,2015
MERCK SHARP & DOHME CORP,"NORTH WALES, PA",DATA SCIENTIST,70637,05/15/2015,CERTIFIED,05/04/2015,2015
IBM CORPORATION,"CLEVELAND, OH",DATA SCIENTIST,71032,11/06/2015,CERTIFIED,10/30/2015,2015
HUMANA INSURANCE COMPANY,"FREMONT, CA",DATA SCIENTIST,71822,12/09/2015,CERTIFIED,12/02/2015,2015
TIVO INC,"SAN JOSE, CA",DATA SCIENTIST,72000,02/18/2015,CERTIFIED,02/11/2015,2015
CREDIT KARMA INC,"SAN FRANCISCO, CA",DATA SCIENTIST,72000,08/10/2015,CERTIFIED,02/10/2015,2015
KIRANAM TECHNOLOGIES INC,"IRVING, TX",DATA SCIENTIST,72530,09/03/2015,CERTIFIED,03/05/2015,2015
COMPUBAHN INC,"BETHESDA, MD",DATA SCIENTIST,73550,09/24/2015,CERTIFIED,03/26/2015,2015
ORACLE AMERICA INC,"WESTMINSTER, CO",DATA SCIENTIST,73736,06/22/2015,CERTIFIED,06/16/2015,2015
EARTH NETWORKS INC,"GERMANTOWN, MD",DATA SCIENTIST,74290,07/15/2015,CERTIFIED,01/14/2015,2015
EARTH NETWORKS INC,"GERMANTOWN, MD",DATA SCIENTIST,74290,07/15/2015,CERTIFIED,02/06/2015,2015
MOTOROLA SOLUTIONS INC,"SCHAUMBURG, IL",DATA SCIENTIST,74610,12/14/2015,CERTIFIED,11/11/2015,2015
GENERAL MOTORS COMPANY,"DETROIT, MI",DATA SCIENTIST,75000,01/04/2016,CERTIFIED,12/15/2015,2015
RETAIL EQUATION INC,"IRVINE, CA",DATA SCIENTIST,75000,08/12/2015,CERTIFIED,02/13/2015,2015
AMERICAN SAVINGS BANK FSB,"HONOLULU, HI",DATA SCIENTIST,75000,08/04/2015,CERTIFIED,02/04/2015,2015
NEXMO INC,"SAN FRANCISCO, CA",DATA SCIENTIST,75000,09/05/2015,CERTIFIED,03/10/2015,2015
SIMULMEDIA INC,"NEW YORK, NY",DATA SCIENTIST,75000,09/03/2015,CERTIFIED,03/06/2015,2015
MONEYLION INC,"NEW YORK, NY",DATA SCIENTIST,75000,09/09/2015,CERTIFIED,03/12/2015,2015
ON DECK CAPITAL INC,"NEW YORK, NY",DATA SCIENTIST,75000,09/01/2015,CERTIFIED,03/17/2015,2015
MASHWORK INC,"NEW YORK, NY",DATA SCIENTIST,75000,09/17/2015,CERTIFIED,03/18/2015,2015
REPUBLICAN NATIONAL COMMITTEE,"WASHINGTON, DC",DATA SCIENTIST,75000,06/01/2015,CERTIFIED,03/24/2015,2015
LIFTPOINT CONSULTING INC,"EDEN PRAIRIE, MN",DATA SCIENTIST,75000,08/10/2015,CERTIFIED,07/28/2015,2015
THOUGHTWORKS INC,"CHICAGO, IL",DATA SCIENTIST,76606,01/22/2015,CERTIFIED,01/22/2015,2015
DIGITAL REASONING SYSTEMS INC,"FRANKLIN, TN",DATA SCIENTIST,76718,09/15/2015,CERTIFIED,08/25/2015,2015
ADP LLC,"ROSELAND, NJ",DATA SCIENTIST,77022,08/18/2015,CERTIFIED,03/02/2015,2015
CIRCLEUP NETWORK INC,"SAN FRANCISCO, CA",DATA SCIENTIST,77064,10/16/2015,CERTIFIED,09/23/2015,2015
NORDSTROM INC,"SEATTLE, WA",DATA SCIENTIST,78000,09/08/2015,CERTIFIED,03/10/2015,2015
EMC CORPORATION,"SANTA MONICA, CA",DATA SCIENTIST,78480,08/17/2015,CERTIFIED,06/25/2015,2015
SCHLUMBERGER TECHNOLOGY CORPORATION,"HOUSTON, TX",DATA SCIENTIST,79186,09/20/2015,CERTIFIED,03/25/2015,2015
FEEDZAI INC,"SAN MATEO, CA",DATA SCIENTIST,80000,10/19/2015,CERTIFIED,10/08/2015,2015
OPEX ANALYTICS LLC,"EVANSTOWN, IL",DATA SCIENTIST,80000,01/20/2015,CERTIFIED,01/19/2015,2015
RADIUMONE INC,"SAN FRANCISCO, CA",DATA SCIENTIST,80000,08/10/2015,CERTIFIED,02/10/2015,2015
CAREERBUILDER LLC,"NORCROSS, GA",DATA SCIENTIST,80000,08/12/2015,CERTIFIED,02/12/2015,2015
GROUPON INC,"CHICAGO, IL",DATA SCIENTIST,80000,08/10/2015,CERTIFIED,02/13/2015,2015
OFFERPOP CORPORATION,"NEW YORK, NY",DATA SCIENTIST,80000,08/20/2015,CERTIFIED,02/18/2015,2015
PANORAMA EDUCATION INC,"BOSTON, MA",DATA SCIENTIST,80000,08/23/2015,CERTIFIED,02/25/2015,2015
CARD CORPORATION,"LOS ANGELES, CA",DATA SCIENTIST,80000,03/16/2015,CERTIFIED,02/25/2015,2015
REELIO LABS LLC,"NEW YORK, NY",DATA SCIENTIST,80000,09/08/2015,CERTIFIED,03/12/2015,2015
AUTOMOTIVEMASTERMIND LLC,"NEW YORK, NY",DATA SCIENTIST,80000,09/01/2015,CERTIFIED,03/17/2015,2015
THINKECO INC,"NEW YORK, NY",DATA SCIENTIST,80000,09/27/2015,CERTIFIED,03/30/2015,2015
DATO INC,"SEATTLE, WA",DATA SCIENTIST,80000,06/11/2015,CERTIFIED,06/01/2015,2015
EVERQUOTE INC,"CAMBRIDGE, MA",DATA SCIENTIST,80000,07/14/2015,CERTIFIED,04/02/2015,2015
EMC CORPORATION,"HOPKINTON, MA",DATA SCIENTIST,80750,09/10/2015,CERTIFIED,04/29/2015,2015
SCHLUMBERGER TECHNOLOGY CORPORATION,"HOUSTON, TX",DATA SCIENTIST,81224,09/20/2015,CERTIFIED,03/24/2015,2015
CAESARS ENTERPRISE SERVICES LLC,"LAS VEGAS, NV",DATA SCIENTIST,81245,10/11/2015,CERTIFIED,07/22/2015,2015
ALTERIAN INC,"SEATTLE, WA",DATA SCIENTIST,82000,10/01/2015,CERTIFIED,04/15/2015,2015
MAXPOINT INTERACTIVE INC,"MORRISVILLE, NC",DATA SCIENTIST,82000,07/20/2015,CERTIFIED,07/17/2015,2015
MAXPOINT INTERACTIVE INC,"AUSTIN, TX",DATA SCIENTIST,82000,08/20/2015,CERTIFIED,08/12/2015,2015
FIREEYE INC,"MILPITAS, CA",DATA SCIENTIST,84094,07/16/2015,CERTIFIED,02/03/2015,2015
IBM CORPORATION,"CLEVELAND, OH",DATA SCIENTIST,85000,10/02/2015,CERTIFIED,09/25/2015,2015
INSPIRE ENERGY HOLDINGS LLC,"SANTA MONICA, CA",DATA SCIENTIST,85000,11/09/2015,CERTIFIED,11/03/2015,2015
BEHAVIORMATRIX LLC,"BLUE BELL, PA",DATA SCIENTIST,85000,09/10/2015,CERTIFIED,03/11/2015,2015
GENERAL MOTORS COMPANY,"DETROIT, MI",DATA SCIENTIST,85000,08/28/2015,CERTIFIED,02/26/2015,2015
PERSIS CONSULTING CO,"DETROIT, MI",DATA SCIENTIST,85000,08/27/2015,CERTIFIED,02/27/2015,2015
AIRSAGE INC,"ATLANTA, GA",DATA SCIENTIST,85000,09/02/2015,CERTIFIED,03/03/2015,2015
GROUPON INC,"PALO ALTO, CA",DATA SCIENTIST,85000,09/01/2015,CERTIFIED,03/12/2015,2015
BAZAARVOICE INC,"AUSTIN, TX",DATA SCIENTIST,85000,09/28/2015,CERTIFIED,04/14/2015,2015
THE NIELSEN COMPANY (US) LLC,"NEW YORK, NY",DATA SCIENTIST,85000,07/10/2015,CERTIFIED,07/01/2015,2015
LENDINGCLUB CORPORATION,"SAN FRANCISCO, CA",DATA SCIENTIST,85000,08/24/2015,CERTIFIED,08/14/2015,2015
IBM CORPORATION,"CLEVELAND, OH",DATA SCIENTIST,85000,09/30/2015,CERTIFIED,09/23/2015,2015
IBM CORPORATION,"CLEVELAND, OH",DATA SCIENTIST,85000,10/01/2015,CERTIFIED,09/24/2015,2015
IBM CORPORATION,"FOSTER CITY, CA",DATA SCIENTIST,85938,06/21/2016,CERTIFIED,12/21/2015,2015
6 SENSE INSIGHTS INC,"SAN FRANCISCO, CA",DATA SCIENTIST,85946,05/18/2015,CERTIFIED,04/29/2015,2015
6 SENSE INSIGHTS INC,"SAN FRANCISCO, CA",DATA SCIENTIST,85946,05/18/2015,CERTIFIED,05/06/2015,2015
6 SENSE INSIGHTS INC,"SAN FRANCISCO, CA",DATA SCIENTIST,85946,05/18/2015,CERTIFIED,05/07/2015,2015
ROAM ANALYTICS INC,"SAN FRANCISCO, CA",DATA SCIENTIST,86000,08/26/2015,CERTIFIED,02/24/2015,2015
SONY NETWORK ENTERTAINMENT INTERNATIONAL LLC,"SAN MATEO, CA",DATA SCIENTIST,86237,09/17/2015,CERTIFIED,03/19/2015,2015
RECREATIONAL EQUIPMENT INC,"KENT, WA",DATA SCIENTIST,86362,10/28/2015,CERTIFIED,10/21/2015,2015
SMARTER TRAVEL MEDIA LLC,"BOSTON, MA",DATA SCIENTIST,86445,05/14/2015,CERTIFIED,05/05/2015,2015
ACCENTURE LLP,"ATLANTA, GA",DATA SCIENTIST,86700,08/26/2015,CERTIFIED,03/10/2015,2015
LIVE NATION WORLDWIDE INC,"HOLLYWOOD, CA",DATA SCIENTIST,87277,09/09/2015,CERTIFIED,03/16/2015,2015
FPT USA CORP,"EL SEGUNDO, CA",DATA SCIENTIST,87277,09/13/2015,CERTIFIED,03/14/2015,2015
AUDIENCE MEDIA LLC,"PASADENA, CA",DATA SCIENTIST,87277,09/04/2015,CERTIFIED,03/05/2015,2015
FPT USA CORP,"EL SEGUNDO, CA",DATA SCIENTIST,87277,09/06/2015,CERTIFIED,03/09/2015,2015
FPT USA CORP,"EL SEGUNDO, CA",DATA SCIENTIST,87277,09/25/2015,CERTIFIED,03/26/2015,2015
INOVANT LLC,"FOSTER CITY, CA",DATA SCIENTIST,87400,09/01/2015,CERTIFIED,03/09/2015,2015
CLOUDWICK TECHNOLOGIES INC,"SAN JOSE, CA",DATA SCIENTIST,88254,08/18/2015,CERTIFIED,02/20/2015,2015
OPEX ANALYTICS LLC,"PALO ALTO, CA",DATA SCIENTIST,89440,11/03/2015,CERTIFIED,10/26/2015,2015
OPEX ANALYTICS LLC,"PALO ALTO, CA",DATA SCIENTIST,89440,08/10/2015,CERTIFIED,07/23/2015,2015
INTELLECT DESIGN ARENA INC,"JERSEY CITY, NJ",DATA SCIENTIST,90000,10/09/2015,CERTIFIED,10/01/2015,2015
FACEBOOK INC,"MENLO PARK, CA",DATA SCIENTIST,90000,06/04/2016,CERTIFIED,12/07/2015,2015
SCHLUMBERGER TECHNOLOGY CORPORATION,"MENLO PARK, CA",DATA SCIENTIST,90000,08/27/2015,CERTIFIED,02/27/2015,2015
KABBAGE INC,"ATLANTA, GA",DATA SCIENTIST,90000,08/26/2015,CERTIFIED,02/27/2015,2015
HOOKLOGIC INC,"NEW YORK, NY",DATA SCIENTIST,90000,09/01/2015,CERTIFIED,03/02/2015,2015
YASME SOFT INC,"IRVING, TX",DATA SCIENTIST,90000,03/16/2015,CERTIFIED,03/02/2015,2015
CA INC,"SAN DIEGO, CA",DATA SCIENTIST,90000,09/03/2015,CERTIFIED,03/06/2015,2015
ALIVIA CAPITAL LLC,"WOBURN, MA",DATA SCIENTIST,90000,09/05/2015,CERTIFIED,03/17/2015,2015
TRIPADVISOR LLC,"NEWTON, MA",DATA SCIENTIST,90000,09/01/2015,CERTIFIED,03/09/2015,2015
ACCOMPLICE INC,"SAN FRANCISCO, CA",DATA SCIENTIST,90000,09/09/2015,CERTIFIED,03/10/2015,2015
SLALOM LLC,"ATLANTA, GA",DATA SCIENTIST,90000,09/11/2015,CERTIFIED,03/17/2015,2015
TRUSTED PATTERNS INC,"SANTA CLARA, CA",DATA SCIENTIST,90000,09/04/2015,CERTIFIED,03/13/2015,2015
PEBBLE TECHNOLOGY CORP,"PALO ALTO, CA",DATA SCIENTIST,90000,09/15/2015,CERTIFIED,03/16/2015,2015
FARMER'S BUSINESS NETWORK INC,"SAN CARLOS, CA",DATA SCIENTIST,90000,09/15/2015,CERTIFIED,03/18/2015,2015
ESURANCE INSURANCE SERVICES INC,"SAN FRANCISCO, CA",DATA SCIENTIST,90000,12/10/2015,CERTIFIED,09/24/2015,2015
DATO INC,"SEATTLE, WA",DATA SCIENTIST,90002,08/20/2015,CERTIFIED,02/26/2015,2015
FACEBOOK INC,"MENLO PARK, CA",DATA SCIENTIST,91000,06/04/2016,CERTIFIED,12/07/2015,2015
APIGEE CORPORATION,"SAN JOSE, CA",DATA SCIENTIST,91000,09/04/2015,CERTIFIED,03/10/2015,2015
VIGILANZ CORPORATION,"MINNEAPOLIS, MN",DATA SCIENTIST,91125,09/03/2015,CERTIFIED,03/04/2015,2015
QUANTICMIND INC,"REDWOOD CITY, CA",DATA SCIENTIST,91166,01/04/2016,CERTIFIED,12/04/2015,2015
FACEBOOK INC,"MENLO PARK, CA",DATA SCIENTIST,92000,08/06/2015,CERTIFIED,02/10/2015,2015
CONNANCE INC,"WALTHAM, MA",DATA SCIENTIST,92000,08/25/2015,CERTIFIED,02/25/2015,2015
TRANS-FAST REMITTANCE LLC,"NEW YORK, NY",DATA SCIENTIST,92000,08/01/2015,CERTIFIED,03/04/2015,2015
ALEVO INC,"CONCORD, NC",DATA SCIENTIST,92000,09/16/2015,CERTIFIED,03/17/2015,2015
LINKEDIN CORPORATION,"MOUNTAIN VIEW, CA",DATA SCIENTIST,93000,03/02/2015,CERTIFIED,02/19/2015,2015
